Alarm Name,Severity,Description,Route To,Explanation,Recommended Action
EvtCugaAltTurnedOn,INFORMATIONAL_ALARM,The alternate greeting was turned on through the Cisco Unity Connection Greetings Administrator for call handler with extension [%1] by Mail User [%2] at extension [%3]. The ANI for the call is - [%4],Event Log,The alternate greeting was turned on through the Cisco Unity Connection Greetings Administrator for call handler.,None
EvtCugaRecChanged,INFORMATIONAL_ALARM,The recording for a greeting was changed through the Cisco Unity Connection Greetings Administrator - [%1] changed for call handler with extension [%2] by Mail User [%3] at extension [%4]. The ANI for the call is - [%5],Event Log,The recording for a greeting was changed through the Cisco Unity Connection Greetings Administrator.,None
EvtCuMethodHresult,ERROR_ALARM,"Unexpected error occurred in the TUI utilities conversation. For further investigation, please turn on all the diagnostics for ConvSub. TECHNICAL DETAILS: %1 returned [%2] on line %3 of file %4.",Event Log,Unexpected error occurred in the TUI utilities conversation.,Turn on all the diagnostics for ConvSub.
EvtCuNoDigitsEntered,ERROR_ALARM,Unexpected call to a utility. %1 should not be called without digits. Possible reasons could be invalid links or some MIU issues.,Event Log,Unexpected call to a utility. It should not be called without digits. Possible reasons could be invalid links or some MIU issues.,None
EvtCuNullParameter,ERROR_ALARM,An invalid argument (a NULL parameter) was received. This is a fatal condition and is not expected. Possible reason for failure could be a corrupted stack or memory. TECHNICAL DETAILS: Invalid argument passed into method %1 on line %2 of file %3.,Event Log,An invalid argument (a NULL parameter) was received. This is a fatal condition and is not expected. Possible reason for failure could be a corrupted stack or memory.,None
EvtCuNullPointer,ERROR_ALARM,Invalid data (a NULL pointer) found. This is a fatal condition and is not expected. Possible reasons for failure could be data link corruptions or a corrupted stack or memory. TECHNICAL DETAILS: Method %1 returned a NULL pointer on line %2 of file %3.,Event Log,Invalid data (a NULL pointer) found. This is a fatal condition and is not expected. Possible reasons for failure could be data link corruptions or a corrupted stack or memory.,None
EvtDataSysAgentDbAlmostFull,WARNING_ALARM,DbSpace %1 is almost full. Its usage has exceeded the warning threshold of %2 used.,Event Log,"The DbSpace is almost full. If the DbSpace becomes full, the system may not be able to provide all services.","Please check that the Connection services are operating correctly. If one of the Connection services stops running, the database could grow beyond the warning threshold for the system."
EvtDataSysAgentDbSpaceUsageFailed,ERROR_ALARM,"Failed to retrieve DbSpace usage information when running the ""Monitor the Unity Connection databases"" SysAgent task.",Event Log,"The task ""Monitor the Unity Connection databases"" was unable to retrieve the DbSpace usage information.",See the SysAgent trace log for more information.
EvtDataSysAgentMbxDbAlmostFull,WARNING_ALARM,The mail DbSpace %1 is almost full. Its usage has exceeded the warning threshold of %2 used.,Event Log,"A DbSpace used by a mailbox store is almost full. If the DbSpace becomes full, message delivery to recipient's whose mailbox is located in this mailbox store will fail.",Please check the Message Store settings.
EvtDbeventError,ERROR_ALARM,An error occurred initializing the connection to Connection DB Event Publisher. Updates may be delayed slightly. TECHNICAL DETAILS: %1,Event Log,An error occurred initializing the connection to Connection DB Event Publisher. Updates may be delayed slightly.,None
EvtDbeventStart,INFORMATIONAL_ALARM,The connection to Connection DB Event Publisher has been re-established.,Event Log,The connection to Connection DB Event Publisher has been re-established.,None
EvtDbeventStop,INFORMATIONAL_ALARM,The connection to Connection DB Event Publisher has been broken. Updates may be delayed slightly. TECHNICAL DETAILS: Polling interval set to %1 seconds.,Event Log,The connection to Connection DB Event Publisher has been broken. Updates may be delayed slightly.,None
EvtDBHelperConnectionFailbackToLocal,ERROR_ALARM,Failed to obtain a connection to the cluster primary database. We have failed back to using the local database.,Event Log,"To maintain database consistency many operations are performed on the cluster primary database. This error was generated because we failed to obtain a connection to the cluster primary database and instead, used the local database to perform the operation.",Check network connectivity between the primary and secondary and check to make sure the primary is functioning properly.
EvtDBHelperConnectionPrimaryRestored,INFORMATIONAL_ALARM,Connectivity to the cluster primary database has been restored.,Event Log,"After a period of inaccessibility, connectivity to the cluster primary database has been restored.",Check the health of cluster replication to make sure data is being synchronized between the cluster members.
EvtDBHelperInitialized,INFORMATIONAL_ALARM,IfxDBHelper Initialized,Event Log,The alarm notification code was initialized inside the IfxDbHelper code.,No action necessary.
EvtDblsDbeventConnectError,ERROR_ALARM,Database synchronization thread in component %1 (pid=%2) was unable to connect to the database notification publisher. Error %3. %4,Event Log,Database synchronization thread in component was unable to connect to the database notification publisher.,See the Cisco Unity Connection Troubleshooting Guide.
EvtDblsDbeventRegisterError,ERROR_ALARM,Database synchronization thread in component %1 (pid=%2) failed registering with database notification publisher for notifications for collection %3. Error %4. %5,Event Log,Database synchronization thread failed registering with database notification publisher for notifications for collection.,See the Cisco Unity Connection Troubleshooting Guide.
EvtDblsUnrecoverableError,ERROR_ALARM,Database synchronization thread in component %1 (pid=%2) encountered an error from which it cannot recover. The thread is stopping. %3,Event Log,Database synchronization thread encountered an error from which it cannot recover. The thread is stopping.,See the Cisco Unity Connection Troubleshooting Guide.
EvtDirectorySynchronizationAlertMode,WARNING_ALARM,HTTPS location %1 is in High Availability Alert mode.,"Event Log, Sys Log, Alert Log","HTTPS location Publisher machine is currently inaccessible, although directory synchronization is being done with its subscriber machine.",Check the Syslog (CiscoSyslog) of the concerned HTTPS location for errors.
EvtDirectorySynchronizationRecoverFromAlertMode,INFORMATIONAL_ALARM,The network location %1 has recovered from High Availability Alert mode.,"Event Log, Sys Log, Alert Log",HTTPS location Publisher machine has recovered from Alert mode and directory synchronization is being done with publisher machine.,None
EvtDisconnected,INFORMATIONAL_ALARM,"Cisco Unity Connection port %1: Disconnected from Cisco Unified Communications Manager %2. If there are many of these messages in sequence from the same device %1, this port may not be functioning any more. Check to see that it is answering calls, and the server may need to be restarted to activate the port again.",Event Log,Cisco Unity Connection port disconnected from Cisco Unified Communications Manager.,"If there are many of these messages in sequence from the same device, this port may not be functioning any more. Check to see that it is answering calls, and the server may need to be restarted to activate the port again."
EvtDnsFailed,ERROR_ALARM,Cisco Unity Connection port %1: DNS lookup of host name '%2' failed. No connections will be attempted to that Cisco Unified Communications Manager. Try looking up the host name manually to verify that DNS is working on your network. You can bypass the DNS lookup by reconfiguring Cisco Unity Connection with the IP address instead of host name.,Event Log,Cisco Unity Connection port: DNS lookup failed. No connections will be attempted to that Cisco Unified Communications Manager.,Try looking up the host name manually to verify that DNS is working on your network. You can bypass the DNS lookup by reconfiguring Cisco Unity Connection with the IP address instead of host name.
EvtEncodebase64Failed,ERROR_ALARM,CuCertMgr could not complete. Unable to base 64 encode the certificate.,Event Log,CuCertMgr could not complete. Unable to base 64 encode the certificate.,See the Cisco Unity Connection Troubleshooting Guide.
EvtExceptionCaught,ERROR_ALARM,CuCertMgr failed to complete successfully. DETAILED INFORMATION: An exception was caught and handled in function %1.,Event Log,CuCertMgr failed to complete successfully. An exception was caught and handled.,See the Cisco Unity Connection Troubleshooting Guide.
EvtExternalSvcError,ERROR_ALARM,External service %1 can not be reached.,Event Log,The specified external service can not be reached by the external service diagnostic tool.,"For detailed information about the error, please check SysAgent task result for Check External Service task! For further troubleshooting, please check the external server's network connection, DNS server's configuration, service ports' configuration, security connection configuration if configured and the service's configuration."
EvtFailedDatabaseRead,ERROR_ALARM,Failed to read database %1 with query %2. TECHNICAL DETAILS: %3,Event Log,Failed to read the database.,See the Cisco Unity Connection Troubleshooting Guide.
EvtFailedDatabaseUpdate,ERROR_ALARM,Failed to delete row from NotifyQ table in database %1 with update statement %2. TECHNICAL DETAILS: %3,Event Log,Failed to delete row from NotifyQ table.,Restart the Connection Notifier service using Cisco Unity Connection Serviceability Control Center. See the Cisco Unity Connection Troubleshooting Guide.
EvtFailedMsgstoremonitorInit,ERROR_ALARM,Unable to initialize the mechanism that monitors the message store. TECHNICAL DETAILS: %1,Event Log,Unable to initialize the mechanism that monitors the message store.,See the Cisco Unity Connection Troubleshooting Guide.
EvtFailedMsgstoremonitorStart,ERROR_ALARM,Unable to register %1 for message store notifications. TECHNICAL DETAILS: %2,Event Log,Unable to register for message store notifications. MWI and notifications for the mailbox will not be available.,See the Cisco Unity Connection Troubleshooting Guide.
EvtFailedMsgstoremonitorStop,ERROR_ALARM,Unable to unregister %1 from message store notifications. TECHNICAL DETAILS: %2,Event Log,Unable to unregister from message store notifications.,None
EvtFailedUpdatingCalendarNotifyFlag,ERROR_ALARM,"Error updating calendar notify flag for %1, schedule id= %2, TECHNICAL DETAILS: %3",Event Log,Error updating calendar notify flag in the database.,The calendar may not trigger notifications as expected. See the Cisco Unity Connection Troubleshooting Guide.
EvtFailedUpdatingDbmwistatus,ERROR_ALARM,"Error updating MWI status in database for %1, %2, extension=%3. TECHNICAL DETAILS: %4",Event Log,Error updating MWI status in the database.,See the Cisco Unity Connection Troubleshooting Guide.
EvtFailedUpdatingLastUSNSent,ERROR_ALARM,"Error updating last USN sent for Event Service Subscriptions for %1, subscription resource id= %2, TECHNICAL DETAILS: %3",Event Log,Error updating last USN sent for Event Service Subscription.,The message list sent to subscriptions may be longer than expected. See the Cisco Unity Connection Troubleshooting Guide.
EvtFailedUpdatingNotifiedstatus,ERROR_ALARM,"Error updating message notified status in database for %1, message id= %2, TECHNICAL DETAILS: %3",Event Log,Error updating message notified status in the database.,The message may continue to trigger notifications. See the Cisco Unity Connection Troubleshooting Guide.
EvtFailedUpdatingNotifyq,ERROR_ALARM,"Error adding entry to NotifyQ table for mailbox %1, action %2. TECHNICAL DETAILS: %3",Event Log,Error adding entry to NotifyQ table for the mailbox.,See the Cisco Unity Connection Troubleshooting Guide.
EvtFeederDirectoryException,ERROR_ALARM,Directory feed for remote site/HTTPS location failed because an internal error occurred during feed retrieval. Error Message: %1.,"Event Log, Sys Log",Directory Feeder encountered an internal processing error.,Check the Tomcat diagnostic logs to help determine the source of the problem.
EvtFilenotfound,ERROR_ALARM,The conversation [%1] could not find the file [%2]. Check that the file exists and is available.,Event Log,The conversation could not find the file.,Check that the file exists and is available.
EvtG729aNotInstalled,INFORMATIONAL_ALARM,"Cisco Unity Connection port %1: This device has been configured to support the G.729a codec, but the codec is not installed on this computer. Support for G.729a will not be advertised to the Cisco Unified Communications Manager. This device supports the following codec(s): %2.",Event Log,"Cisco Unity Connection port has been configured to support the G.729a codec, but the codec is not installed on this computer. Support for G.729a will not be advertised to the Cisco Unified Communications Manager.",None
EvtGenericException,ERROR_ALARM,"Exception trapped in %1. %2 Please ensure that Cisco Unity Connection is still answering calls, and reset the ports or restart the computer if it is not already running.",Event Log,Exception caught.,"Please ensure that Cisco Unity Connection is still answering calls, and reset the ports or restart the computer if it is not already running."
EvtGoodbyeUnknownServer,INFORMATIONAL_ALARM,Goodbye from unknown server %1.,Event Log,Goodbye from unknown server.,None
EvtGreetingCheckSubMboxOutsidecaller,INFORMATIONAL_ALARM,The mailbox for [alias: %1] is full. The recipient user cannot send or receive new voice messages until mailbox size is reduced.,Event Log,The user's mailbox is full. The recipient user cannot send or receive new voice messages until mailbox size is reduced.,None
EvtGreetingLogsubactivMethodHresult,WARNING_ALARM,"Unable to log the activity of leaving a message to a Cisco Unity Connection user. This is not a fatal error. The message was sent successfully, but an error is stopping the data to be logged for the Cisco Unity Connection user reports. TECHNICAL DETAILS: %1 returned [%2] on line %3 of file %4.",Event Log,"Unable to log the activity of leaving a message to a Cisco Unity Connection user. This is not a fatal error. The message was sent successfully, but an error is stopping the data to be logged for the Cisco Unity Connection user reports.",See the Cisco Unity Connection Troubleshooting Guide.
EvtGreetingMakePhrase,ERROR_ALARM,An unexpected error occurred while trying to play greeting for a user. Cisco Unity Connection had to terminate the call. One Possible reason could be that the call was disconnected while waiting for the phrase.,Event Log,An unexpected error occurred while trying to play greeting for a user. Cisco Unity Connection had to terminate the call. One Possible reason could be that the call was disconnected while waiting for the phrase.,See the Cisco Unity Connection Troubleshooting Guide.
EvtGreetingMakePhraseHresult,ERROR_ALARM,An unexpected error occurred while trying to play greeting for a user. One possible reason could be that the call was disconnected while waiting for the phrase. TECHNICAL DETAILS: %1 returned [%2] on line %3 of file %4.,Event Log,An unexpected error occurred while trying to play greeting for a user. One possible reason could be that the call was disconnected while waiting for the phrase.,See the Cisco Unity Connection Troubleshooting Guide.
EvtHelloUnknownServer,INFORMATIONAL_ALARM,Contacted by unknown server %1.,Event Log,Contacted by unknown server.,None
EvtInitCcmCertNotFound,ERROR_ALARM,"Cisco Unity Connection port %1 was unable to find a certificate for Cisco Unified Communications Manager server %2. Verify that this server is functioning correctly, and that all TFTP servers in the cluster have correct CTL Files. Cisco Unity Connection will only register with Cisco Unified Communications Manager servers for which it can find a certificate. If this device is unable to find certificates for any Cisco Unified Communications Manager servers in this cluster, it will continue trying the TFTP download every few seconds. Until it is able to find at least one certificate from a Cisco Unified Communications Manager server, this device will not register with Cisco Unified Communications Manager.",Event Log,"Cisco Unity Connection port was unable to find a certificate for Cisco Unified Communications Manager server. Cisco Unity Connection will only register with Cisco Unified Communications Manager servers for which it can find a certificate. If this device is unable to find certificates for any Cisco Unified Communications Manager servers in this cluster, it will continue trying the TFTP download every few seconds. Until it is able to find at least one certificate from a Cisco Unified Communications Manager server, this device will not register with Cisco Unified Communications Manager.","Verify that this server is functioning correctly, and that all TFTP servers in the cluster have correct CTL Files."
EvtInitCtlSucceeded,INFORMATIONAL_ALARM,Cisco Unity Connection port %1 successfully completed the TFTP download of at least one Cisco Unified Communications Manager certificate. Cisco Unity Connection will now attempt to register with Cisco Unified Communications Manager.,Event Log,Cisco Unity Connection port successfully completed the TFTP download of at least one Cisco Unified Communications Manager certificate. Cisco Unity Connection will now attempt to register with Cisco Unified Communications Manager.,None
EvtInitMissingDeviceCert,ERROR_ALARM,Cisco Unity Connection port %1 is missing its device certificate. The device cannot establish a secure connection to Cisco Unified Communications Manager without it. Create a new device certificate and restart Cisco Unity Connection.,Event Log,Cisco Unity Connection port is missing its device certificate. The device cannot establish a secure connection to Cisco Unified Communications Manager without it.,Create a new device certificate and restart Cisco Unity Connection.
EvtInitNoCcmCertFound,ERROR_ALARM,"Cisco Unity Connection port %1 was unable to find a certificate for any Cisco Unified Communications Manager server in this cluster. Verify that all Cisco Unified Communications Manager and TFTP servers are functioning correctly, and that all TFTP servers in the cluster have correct CTL Files. Cisco Unity Connection will only register with a Cisco Unified Communications Manager server for which it can find a certificate. This device will continue trying the TFTP download every few seconds. Until it is able to find at least one certificate from a Cisco Unified Communications Manager server, this device will not register with Cisco Unified Communications Manager.",Event Log,"Cisco Unity Connection port was unable to find a certificate for any Cisco Unified Communications Manager server in this cluster. Cisco Unity Connection will only register with a Cisco Unified Communications Manager server for which it can find a certificate. This device will continue trying the TFTP download every few seconds. Until it is able to find at least one certificate from a Cisco Unified Communications Manager server, this device will not register with Cisco Unified Communications Manager.","Verify that all Cisco Unified Communications Manager and TFTP servers are functioning correctly, and that all TFTP servers in the cluster have correct CTL Files."
EvtInitNoTftpHostnameResolved,ERROR_ALARM,"Cisco Unity Connection port %1 was unable to resolve the hostnames of any TFTP servers in this cluster into IP addresses. Cisco Unity Connection uses the TFTP servers to download the certificates for Cisco Unified Communications Manager servers. The primary TFTP server is %2. Verify that this TFTP server and any alternate TFTP servers are functioning correctly. Or use the IP address for the server rather than the host name. This device will continue trying to resolve the host name and perform the TFTP download every few seconds. Until those operations succeed, this device will not register with Cisco Unified Communications Manager.",Event Log,"Cisco Unity Connection port was unable to resolve the hostnames of any TFTP servers in this cluster into IP addresses. Cisco Unity Connection uses the TFTP servers to download the certificates for Cisco Unified Communications Manager servers. This device will continue trying to resolve the host name and perform the TFTP download every few seconds. Until those operations succeed, this device will not register with Cisco Unified Communications Manager.",Verify that the TFTP server and any alternate TFTP servers are functioning correctly. Or use the IP address for the server rather than the host name.
EvtInitNoTftpServers,ERROR_ALARM,"Cisco Unity Connection port %1 does not have any TFTP servers configured. At least one TFTP server is needed in order to download the Cisco Unified Communications Manager certificates. Until a TFTP server is configured for this device, it will not register with Cisco Unified Communications Manager.",Event Log,"Cisco Unity Connection port does not have any TFTP servers configured. At least one TFTP server is needed in order to download the Cisco Unified Communications Manager certificates. Until a TFTP server is configured for this device, it will not register with Cisco Unified Communications Manager.",Configure TFTP server for Cisco Unity Connection ports.
